a,RMSE,Mean,RMSE - Decentered Loss
24.8,960.5984500951129,-661.0098114177704,972.7813496428539
24.85,964.5288596662726,-666.4283233837127,976.4713480847466
24.9,968.3793146883459,-671.8534999710083,980.18197741323
24.95,972.2564758760703,-677.1265060665131,983.8037856403378
25.0,976.0081342310083,-682.4605987934112,987.4826845711663
25.05,979.8627818938747,-687.8012787342071,991.1812056585953
25.1,983.9818554276426,-693.0347637180329,994.8199672021697
25.15,987.8209028768019,-698.395046723938,998.5615778262987
25.2,991.649301324501,-703.8710698265076,1002.3991552077089
25.25,995.4373378390889,-709.2304252216339,1006.1696574049904
25.3,999.6017518582637,-714.5992379756927,1009.9612142740218
25.35,1003.7304345473613,-720.1172363483429,1013.8729789812879
25.4,1007.8097777522712,-725.3855149814606,1017.6216039212879
25.45,1011.8242081555366,-730.8780538337708,1021.5440827483933
25.5,1015.8444733925015,-736.0983227985382,1025.2854842673025
25.55,1019.9084381006953,-741.5098258312225,1029.1775382443332
25.6,1024.1546795503207,-746.865918404007,1033.043214728153
25.65,1027.8799500683256,-752.262044228363,1036.9511881516178
25.7,1032.3075525155211,-757.6395568973542,1040.8589153185148
25.75,1036.0809060509682,-763.181996780777,1044.9001596481407
25.8,1040.3778977960421,-768.5036594753266,1048.7933342891652
25.85,1044.4319174893985,-773.8534557651519,1052.719694136138
25.9,1048.6049417112167,-779.1801531238556,1056.6415165251321
25.95,1052.9930992824438,-784.6045759769439,1060.6478793955966
26.0,1056.7026727121818,-789.860203245926,1064.5415558324212
26.05,1060.8139862261075,-795.3193769691467,1068.598378627353
26.1,1065.6470400723454,-800.5065942428589,1072.4646338451992
26.15,1069.2638863770899,-806.0706639286042,1076.624121348169
26.2,1073.5376742238043,-811.267713980484,1080.5206555959662
26.25,1077.9299021267882,-816.5153673736572,1084.4661952222184
26.3,1082.030277517042,-822.0165924289703,1088.6141932066437
26.35,1086.4345491689567,-827.0930117748261,1092.4524857169617
26.4,1090.4179109560907,-832.5943814567565,1096.6234483430378
26.45,1094.8624996711433,-837.8044913398743,1100.5843671121636
26.5,1098.7688883220426,-843.0235628555298,1104.5624975310575
26.55,1102.8639622643661,-848.4067591106415,1108.6765138339667
26.6,1107.1653548721172,-853.7127266773224,1112.742109885864
26.65,1111.532357705541,-858.9647241657257,1116.776602899397
26.7,1115.3713890483561,-864.251324881363,1120.847864779876
26.75,1119.647515321183,-869.2746080677033,1124.7257121866091
